index,Time,CHARGE
G0021,5,0.0
G0021,6,0.0
G0021,7,0.0
G0021,8,0.0
G0021,9,0.0
G0021,10,0.0
G0021,11,0.0
G0021,12,0.0
G0021,13,0.0
G0021,14,0.0
G0021,15,0.0
G0021,16,0.0
G0021,17,0.0
G0021,18,0.0
G0021,19,0.0
G0021,20,0.0
G0021,21,0.0
G0021,22,0.0
G0021,23,0.0
G0021,24,0.0
G0029,1,0.0
G0029,2,0.0
G0029,3,0.0
G0029,4,0.0
G0029,5,0.0
G0029,6,0.0
G0029,7,0.0
G0029,8,0.0
G0029,9,0.0
G0029,10,0.0
G0029,11,0.0
G0029,12,0.0
G0029,13,0.0
G0029,14,0.0
G0029,15,0.0
G0029,16,0.0
G0029,17,0.0
G0029,18,0.0
G0029,19,0.0
G0029,20,0.0
G0029,21,0.0
G0029,22,0.0
G0029,23,0.0
G0029,24,0.0
G0030,1,0.0
G0030,2,0.0
G0030,3,0.0
G0030,4,0.0
G0030,5,0.0
G0030,6,0.0
G0030,7,0.0
G0030,8,0.0
G0030,9,0.0
G0030,10,0.0
G0030,11,0.0
G0030,12,0.0
G0030,13,0.0
G0030,14,0.0
G0030,15,0.0
G0030,16,0.0
G0030,17,0.0
G0030,18,0.0
G0030,19,0.0
G0030,20,0.0
G0030,21,0.0
G0030,22,0.0
G0030,23,0.0
G0030,24,0.0
G0031,1,0.0
G0031,2,0.0
G0031,3,0.0
G0031,4,0.0
G0031,5,0.0
G0031,6,0.0
G0031,7,0.0
G0031,8,0.0
G0031,9,0.0
G0031,10,0.0
G0031,11,0.0
G0031,12,0.0
G0031,13,0.0
G0031,14,0.0
G0031,15,0.0
G0031,16,0.0
G0031,17,0.0
G0031,18,0.0
G0031,19,0.0
G0031,20,0.0
G0031,21,0.0
G0031,22,0.0
G0031,23,0.0
G0031,24,0.0
G0057,1,0.0
G0057,2,0.0
G0057,3,0.0
G0057,4,0.0
G0057,5,0.0
G0057,6,0.0
G0057,7,0.0
G0057,8,0.0
G0057,9,0.0
G0057,10,0.0
G0057,11,0.0
G0057,12,0.0
G0057,13,0.0
G0057,14,0.0
G0057,15,0.0
G0057,16,0.0
G0057,17,0.0
G0057,18,0.0
G0057,19,0.0
G0057,20,0.0
G0057,21,0.0
G0057,22,0.0
G0057,23,0.0
G0057,24,0.0
G0064,1,0.0
G0064,2,0.0
G0064,3,0.0
G0064,4,0.0
G0064,5,0.0
G0064,6,0.0
G0064,7,0.0
G0064,8,0.0
G0064,9,0.0
G0064,10,0.0
G0064,11,0.0
G0064,12,0.0
G0064,13,0.0
G0064,14,0.0
G0064,15,0.0
G0064,16,0.0
G0064,17,0.0
G0064,18,0.0
G0064,19,0.0
G0064,20,0.0
G0064,21,0.0
G0064,22,0.0
G0064,23,0.0
G0064,24,0.0
G0094,1,0.0
G0094,2,0.0
G0094,3,0.0
G0094,4,0.0
G0094,5,0.0
G0094,6,0.0
G0094,7,0.0
G0094,8,0.0
G0094,9,0.0
G0094,10,0.0
G0094,11,0.0
G0094,12,0.0
G0094,13,0.0
G0094,14,0.0
G0094,15,0.0
G0094,16,0.0
G0094,17,0.0
G0094,18,0.0
G0094,19,0.0
G0094,20,0.0
G0094,21,0.0
G0094,22,0.0
G0094,23,0.0
G0094,24,0.0
G0135,1,0.0
G0135,2,0.0
G0135,3,0.0
G0135,4,0.0
G0135,5,0.0
G0135,6,0.0
G0135,7,0.0
G0135,8,0.0
G0135,9,0.0
G0135,10,0.0
