index,Time,GEN,CU
G0930,15,8.77852,0.0
G0930,16,8.77852,0.0
G0930,17,8.77852,0.0
G0930,18,8.77852,0.0
G0930,19,8.77852,0.0
G0930,20,8.77852,0.0
G0930,21,8.77852,0.0
G0930,22,8.77852,0.0
G0930,23,8.77852,0.0
G0930,24,8.77852,0.0
G0931,1,25.31141,0.0
G0931,2,25.31141,0.0
G0931,3,25.31141,0.0
G0931,4,25.31141,0.0
G0931,5,25.31141,0.0
G0931,6,25.31141,0.0
G0931,7,25.31141,0.0
G0931,8,25.31141,0.0
G0931,9,25.31141,0.0
G0931,10,25.31141,0.0
G0931,11,25.31141,0.0
G0931,12,25.31141,0.0
G0931,13,25.31141,0.0
G0931,14,25.31141,0.0
G0931,15,25.31141,0.0
G0931,16,25.31141,0.0
G0931,17,25.31141,0.0
G0931,18,25.31141,0.0
G0931,19,25.31141,0.0
G0931,20,25.31141,0.0
G0931,21,25.31141,0.0
G0931,22,25.31141,0.0
G0931,23,25.31141,0.0
G0931,24,25.31141,0.0
G0932,1,2.45799,0.0
G0932,2,2.45799,0.0
G0932,3,2.45799,0.0
G0932,4,2.45799,0.0
G0932,5,2.45799,0.0
G0932,6,2.45799,0.0
G0932,7,2.45799,0.0
G0932,8,2.45799,0.0
G0932,9,2.45799,0.0
G0932,10,2.45799,0.0
G0932,11,2.45799,0.0
G0932,12,2.45799,0.0
G0932,13,2.45799,0.0
G0932,14,2.45799,0.0
G0932,15,2.45799,0.0
G0932,16,2.45799,0.0
G0932,17,2.45799,0.0
G0932,18,2.45799,0.0
G0932,19,2.45799,0.0
G0932,20,2.45799,0.0
G0932,21,2.45799,0.0
G0932,22,2.45799,0.0
G0932,23,2.45799,0.0
G0932,24,2.45799,0.0
G0933,1,0.67887,0.0
G0933,2,0.67887,0.0
G0933,3,0.67887,0.0
G0933,4,0.67887,0.0
G0933,5,0.67887,0.0
G0933,6,0.67887,0.0
G0933,7,0.67887,0.0
G0933,8,0.67887,0.0
G0933,9,0.67887,0.0
G0933,10,0.67887,0.0
G0933,11,0.67887,0.0
G0933,12,0.67887,0.0
G0933,13,0.67887,0.0
G0933,14,0.67887,0.0
G0933,15,0.67887,0.0
G0933,16,0.67887,0.0
G0933,17,0.67887,0.0
G0933,18,0.67887,0.0
G0933,19,0.67887,0.0
G0933,20,0.67887,0.0
G0933,21,0.67887,0.0
G0933,22,0.67887,0.0
G0933,23,0.67887,0.0
G0933,24,0.67887,0.0
G0934,1,0.45882,0.0
G0934,2,0.45882,0.0
G0934,3,0.45882,0.0
G0934,4,0.45882,0.0
G0934,5,0.45882,0.0
G0934,6,0.45882,0.0
G0934,7,0.45882,0.0
G0934,8,0.45882,0.0
G0934,9,0.45882,0.0
G0934,10,0.45882,0.0
G0934,11,0.45882,0.0
G0934,12,0.45882,0.0
G0934,13,0.45882,0.0
G0934,14,0.45882,0.0
G0934,15,0.45882,0.0
G0934,16,0.45882,0.0
G0934,17,0.45882,0.0
G0934,18,0.45882,0.0
G0934,19,0.45882,0.0
G0934,20,0.45882,0.0
G0934,21,0.45882,0.0
G0934,22,0.45882,0.0
G0934,23,0.45882,0.0
G0934,24,0.45882,0.0
G0935,1,1.08268,0.0
G0935,2,1.08268,0.0
G0935,3,1.08268,0.0
G0935,4,1.08268,0.0
G0935,5,1.08268,0.0
G0935,6,1.08268,0.0
G0935,7,1.08268,0.0
G0935,8,1.08268,0.0
G0935,9,1.08268,0.0
G0935,10,1.08268,0.0
G0935,11,1.08268,0.0
G0935,12,1.08268,0.0
G0935,13,1.08268,0.0
G0935,14,1.08268,0.0
G0935,15,1.08268,0.0
G0935,16,1.08268,0.0
G0935,17,1.08268,0.0
G0935,18,1.08268,0.0
G0935,19,1.08268,0.0
G0935,20,1.08268,0.0
G0935,21,1.08268,0.0
G0935,22,1.08268,0.0
G0935,23,1.08268,0.0
G0935,24,1.08268,0.0
G0936,1,24.12339,0.0
G0936,2,24.12339,0.0
G0936,3,24.12339,0.0
G0936,4,24.12339,0.0
G0936,5,24.12339,0.0
G0936,6,24.12339,0.0
G0936,7,24.12339,0.0
G0936,8,24.12339,0.0
G0936,9,24.12339,0.0
G0936,10,24.12339,0.0
G0936,11,24.12339,0.0
G0936,12,24.12339,0.0
G0936,13,24.12339,0.0
G0936,14,24.12339,0.0
G0936,15,24.12339,0.0
G0936,16,24.12339,0.0
G0936,17,24.12339,0.0
G0936,18,24.12339,0.0
G0936,19,24.12339,0.0
G0936,20,24.12339,0.0
G0936,21,24.12339,0.0
G0936,22,24.12339,0.0
G0936,23,24.12339,0.0
G0936,24,24.12339,0.0
G0937,1,2.80913,0.0
G0937,2,2.80913,0.0
G0937,3,2.80913,0.0
G0937,4,2.80913,0.0
G0937,5,2.80913,0.0
G0937,6,2.80913,0.0
G0937,7,2.80913,0.0
G0937,8,2.80913,0.0
G0937,9,2.80913,0.0
G0937,10,2.80913,0.0
G0937,11,2.80913,0.0
G0937,12,2.80913,0.0
G0937,13,2.80913,0.0
G0937,14,2.80913,0.0
G0937,15,2.80913,0.0
G0937,16,2.80913,0.0
G0937,17,2.80913,0.0
G0937,18,2.80913,0.0
G0937,19,2.80913,0.0
G0937,20,2.80913,0.0
G0937,21,2.80913,0.0
G0937,22,2.80913,0.0
G0937,23,2.80913,0.0
G0937,24,2.80913,0.0
G0938,1,2.80913,0.0
G0938,2,2.80913,0.0
G0938,3,2.80913,0.0
G0938,4,2.80913,0.0
G0938,5,2.80913,0.0
G0938,6,2.80913,0.0
G0938,7,2.80913,0.0
G0938,8,2.80913,0.0
G0938,9,2.80913,0.0
G0938,10,2.80913,0.0
G0938,11,2.80913,0.0
G0938,12,2.80913,0.0
G0938,13,2.80913,0.0
G0938,14,2.80913,0.0
G0938,15,2.80913,0.0
G0938,16,2.80913,0.0
G0938,17,2.80913,0.0
G0938,18,2.80913,0.0
G0938,19,2.80913,0.0
G0938,20,2.80913,0.0
G0938,21,2.80913,0.0
G0938,22,2.80913,0.0
G0938,23,2.80913,0.0
G0938,24,2.80913,0.0
G0939,1,1.31678,0.0
G0939,2,1.31678,0.0
G0939,3,1.31678,0.0
G0939,4,1.31678,0.0
G0939,5,1.31678,0.0
G0939,6,1.31678,0.0
G0939,7,1.31678,0.0
G0939,8,1.31678,0.0
G0939,9,1.31678,0.0
G0939,10,1.31678,0.0
G0939,11,1.31678,0.0
G0939,12,1.31678,0.0
G0939,13,1.31678,0.0
G0939,14,1.31678,0.0
G0939,15,1.31678,0.0
G0939,16,1.31678,0.0
G0939,17,1.31678,0.0
G0939,18,1.31678,0.0
G0939,19,1.31678,0.0
G0939,20,1.31678,0.0
G0939,21,1.31678,0.0
G0939,22,1.31678,0.0
G0939,23,1.31678,0.0
G0939,24,1.31678,0.0
G0940,1,3.7455,0.0
G0940,2,3.7455,0.0
G0940,3,3.7455,0.0
G0940,4,3.7455,0.0
G0940,5,3.7455,0.0
G0940,6,3.7455,0.0
G0940,7,3.7455,0.0
G0940,8,3.7455,0.0
G0940,9,3.7455,0.0
G0940,10,3.7455,0.0
G0940,11,3.7455,0.0
G0940,12,3.7455,0.0
G0940,13,3.7455,0.0
G0940,14,3.7455,0.0
G0940,15,3.7455,0.0
G0940,16,3.7455,0.0
G0940,17,3.7455,0.0
G0940,18,3.7455,0.0
G0940,19,3.7455,0.0
G0940,20,3.7455,0.0
G0940,21,3.7455,0.0
G0940,22,3.7455,0.0
G0940,23,3.7455,0.0
G0940,24,3.7455,0.0
G0941,1,1.43383,0.0
G0941,2,1.43383,0.0
G0941,3,1.43383,0.0
G0941,4,1.43383,0.0
G0941,5,1.43383,0.0
G0941,6,1.43383,0.0
G0941,7,1.43383,0.0
G0941,8,1.43383,0.0
G0941,9,1.43383,0.0
G0941,10,1.43383,0.0
G0941,11,1.43383,0.0
G0941,12,1.43383,0.0
G0941,13,1.43383,0.0
G0941,14,1.43383,0.0
G0941,15,1.43383,0.0
G0941,16,1.43383,0.0
G0941,17,1.43383,0.0
G0941,18,1.43383,0.0
G0941,19,1.43383,0.0
G0941,20,1.43383,0.0
G0941,21,1.43383,0.0
G0941,22,1.43383,0.0
G0941,23,1.43383,0.0
G0941,24,1.43383,0.0
G0942,1,0.20483,0.0
G0942,2,0.20483,0.0
G0942,3,0.20483,0.0
G0942,4,0.20483,0.0
G0942,5,0.20483,0.0
G0942,6,0.20483,0.0
G0942,7,0.20483,0.0
G0942,8,0.20483,0.0
G0942,9,0.20483,0.0
G0942,10,0.20483,0.0
G0942,11,0.20483,0.0
G0942,12,0.20483,0.0
G0942,13,0.20483,0.0
G0942,14,0.20483,0.0
G0942,15,0.20483,0.0
G0942,16,0.20483,0.0
G0942,17,0.20483,0.0
G0942,18,0.20483,0.0
G0942,19,0.20483,0.0
G0942,20,0.20483,0.0
G0942,21,0.20483,0.0
G0942,22,0.20483,0.0
G0942,23,0.20483,0.0
G0942,24,0.20483,0.0
G0943,1,3.04322,0.0
G0943,2,3.04322,0.0
G0943,3,3.04322,0.0
G0943,4,3.04322,0.0
G0943,5,3.04322,0.0
G0943,6,3.04322,0.0
G0943,7,3.04322,0.0
G0943,8,3.04322,0.0
G0943,9,3.04322,0.0
G0943,10,3.04322,0.0
G0943,11,3.04322,0.0
G0943,12,3.04322,0.0
G0943,13,3.04322,0.0
G0943,14,3.04322,0.0
G0943,15,3.04322,0.0
G0943,16,3.04322,0.0
G0943,17,3.04322,0.0
G0943,18,3.04322,0.0
G0943,19,3.04322,0.0
G0943,20,3.04322,0.0
G0943,21,3.04322,0.0
G0943,22,3.04322,0.0
G0943,23,3.04322,0.0
G0943,24,3.04322,0.0
G0944,1,1.46309,0.0
G0944,2,1.46309,0.0
G0944,3,1.46309,0.0
G0944,4,1.46309,0.0
G0944,5,1.46309,0.0
G0944,6,1.46309,0.0
G0944,7,1.46309,0.0
G0944,8,1.46309,0.0
G0944,9,1.46309,0.0
G0944,10,1.46309,0.0
G0944,11,1.46309,0.0
G0944,12,1.46309,0.0
G0944,13,1.46309,0.0
G0944,14,1.46309,0.0
G0944,15,1.46309,0.0
G0944,16,1.46309,0.0
G0944,17,1.46309,0.0
G0944,18,1.46309,0.0
G0944,19,1.46309,0.0
G0944,20,1.46309,0.0
G0944,21,1.46309,0.0
G0944,22,1.46309,0.0
G0944,23,1.46309,0.0
G0944,24,1.46309,0.0
G0945,1,0.43893,0.0
G0945,2,0.43893,0.0
G0945,3,0.43893,0.0
G0945,4,0.43893,0.0
G0945,5,0.43893,0.0
G0945,6,0.43893,0.0
G0945,7,0.43893,0.0
G0945,8,0.43893,0.0
G0945,9,0.43893,0.0
G0945,10,0.43893,0.0
G0945,11,0.43893,0.0
G0945,12,0.43893,0.0
G0945,13,0.43893,0.0
G0945,14,0.43893,0.0
